Diva, Average Height, Lean, Round Face, Olive Skin, Silver Hair, Green Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sleek Waves, soft breasts, Hoop earrings, grape sheer lipstick,  inside ((  wearing  Golf pants and golf polo )), Dystopian metropolis
Babe, Tall, in shape, Square Face, Tan Skin, Honey Blonde Hair, Green Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Low Updo, asymmetrical breasts, Drop earrings, soft pink velvet lipstick,  inside ((  wearing  Boxing shorts and boxing tank top )), City floating in the clouds
Enigma, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Platinum Blonde Hair, black Eyes, Straight Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Sock Bun, soft breasts, Threader earrings, grape metallic lipstick,  inside ((  wearing  Yoga pants and loose tank top )), Alien planet with bioluminescent flora
Charmer, Short, Thin, Heart-Shaped Face, Fair Skin, Golden Blonde Hair, peach Eyes, Narrow Nose, Full Lips, Round Chin, Long Hair, Curly Hair, French Roll, round breasts, Cuff earrings, burgundy satin lipstick,  inside ((  wearing  Yoga pants and loose tank top )), Jungle planet filled with dangerous creatures
Diva, Short, Fit, Square Face, Olive Skin, Platinum Blonde Hair, yellow Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Curly Hair, Beach Waves, small breasts, Hoop earrings, beige sheer lipstick,  inside ((  wearing  Compression top and yoga pants )), Post-apocalyptic wasteland
Belle, Short, Athletic, Diamond-Shaped Face, Dark Skin, Honey Blonde Hair, Sapphire Eyes, Narrow Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Messy Top Knot, small breasts, Threader earrings, coral matte lipstick,  inside ((  wearing  Cropped leggings and fitted T-shirt )), Post-apocalyptic wasteland
Charmer, Short, in shape, Oval Face, Olive Skin, Brunette Hair, green Eyes, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Curly Hair, Sleek Waves, firm breasts, Dangle earrings, black satin lipstick,  inside ((  wearing  Slimfit tracksuit )), Alien planet with bioluminescent flora
Charmer, Average Height, Skinny, Diamond-Shaped Face, Tan Skin, Strawberry Blonde Hair, black Eyes, Short Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Sleek Bun, asymmetrical breasts, Dangle earrings, rust cream lipstick,  inside ((  wearing  Volleyball shorts and volleyball tank top )), Post-apocalyptic wasteland
Songstress, Tall, Lean, Heart-Shaped Face, Fair Skin, Platinum Blonde Hair, Gray Eyes, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Viking Braid, augmented breasts, Hoop earrings, soft pink sheer lipstick,  inside ((  wearing  Snowboarding insulated pants and zip-up hoodie )), Post-apocalyptic wasteland
Madame, Average Height, Toned, Triangular Face, Olive Skin, White Hair, Hazel Eyes with Green Flecks, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Long Straight Hair, asymmetrical breasts, Stud earrings, pink satin lipstick,  inside ((  wearing  Boxing shorts and boxing tank top )), Post-apocalyptic wasteland
Miss, Tall, Thin, Oval Face, Dark Skin, Black Hair, light blue Eyes, Straight Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Messy Bun, perky breasts, Huggie earrings, beige matte lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), Underwater research facility
Enigma, Average Height, in shape, Triangular Face, Fair Skin, Brunette Hair, Amber Eyes, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Half Up Half Down, natural breasts, Drop earrings, fuchsia cream lipstick,  inside ((  wearing  Capri leggings and racerback tank top )), Alien planet with bioluminescent flora
Mistress, Short, Fit, Diamond-Shaped Face, Tan Skin, Brunette Hair, grey-blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Afro, soft breasts, Dangle earrings, berry cream lipstick,  inside ((  wearing  Sufring shorts and wetsuit top )), Alien planet with bioluminescent flora
Madam, Average Height, Firm, Round Face, Fair Skin, Auburn Hair, Blue Eyes with Green Flecks, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Thick Hair, Boho Braid, soft breasts, Stud earrings, coral metallic lipstick,  inside ((  wearing  Compression shorts tank top and running jacket )), Post-apocalyptic wasteland
Trailblazer, Tall, Toned, Square Face, Dark Skin, Blonde Hair, silver Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Tousled Waves, saggy breasts, Clip-on earrings, berry satin lipstick,  inside ((  wearing  Compression shorts tank top and running jacket )), Giant space station
Luminary, Tall, Narrow Hips, Heart-Shaped Face, Tan Skin, Strawberry Blonde Hair, silver Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Fine Hair, Short Afro, natural breasts, Cuff earrings, grape stain lipstick,  inside ((  wearing  High-impact sports bra mesh leggings and cropped hoodie )), Desolate lunar surface
Dame, Average Height, Thin, Triangular Face, Tan Skin, Silver Hair, teal Eyes, [[Curved Nose]], Thin Lips, Round Chin, Long Hair, Thick Hair, Fishtail Braid, full breasts, Cuff earrings, magenta gloss lipstick,  inside ((  wearing  Compression top and yoga pants )), Dystopian metropolis
Empress, Short, Thin, Round Face, Olive Skin, Honey Blonde Hair, peach Eyes, Long Nose, Full Lips, Round Chin, Long Hair, Thick Hair, Stacked Bob, firm breasts, Stud earrings, gloss gloss lipstick,  inside ((  wearing  Compression top and yoga pants )), Jungle planet filled with dangerous creatures
Female Warrior, Short, in shape, Square Face, Dark Skin, Golden Blonde Hair, grey Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Curly Hair, Low Chignon, soft breasts, Hoop earrings, hot pink velvet lipstick,  inside ((  wearing  Boxing shorts and boxing tank top )), Desolate lunar surface
Escort, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Honey Blonde Hair, hazel Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Bangs with Highlights, augmented breasts, Clip-on earrings, beige satin lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), City floating in the clouds
Queen, Tall, Narrow Hips, Round Face, Tan Skin, Platinum Blonde Hair, Hazel Eyes with Green Flecks, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Sleek Waves, natural breasts, Huggie earrings, teal velvet lipstick,  inside ((  wearing  Running shorts and tank top )), City floating in the clouds
Luminary, Short, Fit, Diamond-Shaped Face, Fair Skin, Auburn Hair, dark brown Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Donut Bun, perky breasts, Threader earrings, berry cream lipstick,  inside ((  wearing  High-waisted leggings crop top and lightweight hoodie )), Giant space station
Visionary, Short, Toned, Diamond-Shaped Face, Tan Skin, Strawberry Blonde Hair, silver Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Top Knot, round breasts, Clip-on earrings, orange velvet lipstick,  inside ((  wearing  Compression shorts tank top and running jacket )), Jungle planet filled with dangerous creatures
Empress, Short, in shape, Diamond-Shaped Face, Tan Skin, White Hair, Blue Eyes, Short Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Updo, round breasts, Stud earrings, peach velvet lipstick,  inside ((  wearing  Surfing wetsuit )), City floating in the clouds
Visionary, Short, Firm, Heart-Shaped Face, Tan Skin, Silver Hair, ice blue Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, French Twist, firm breasts, Cuff earrings, soft pink gloss lipstick,  inside ((  wearing  Slimfit tracksuit )), Post-apocalyptic wasteland
Superwoman, Average Height, in shape, Diamond-Shaped Face, Fair Skin, Dark Brown Hair, Blue Eyes with Green Flecks, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Shaggy Cut, full breasts, , cherry cream lipstick,  inside ((  wearing  Compression top and yoga pants )), Giant space station
Miss, Tall, Narrow Hips, Oval Face, Tan Skin, Platinum Blonde Hair, red Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Chignon, small breasts, Cuff earrings, pink metallic lipstick,  inside ((  wearing  Running shorts and tank top )), Giant space station
Superwoman, Short, Firm, Triangular Face, Fair Skin, Chestnut Hair, silver Eyes, [[Curved Nose]], Pouty Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Viking Braid, augmented breasts, Stud earrings, magenta sheer lipstick,  inside ((  wearing  Hiking pants tank top and hiking jacket )), Frozen tundra with icy mountains
Luminary, Average Height, Wide Hips, Diamond-Shaped Face, Tan Skin, Blonde Hair, coral Eyes, Long Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Messy Beach Waves, small breasts, Drop earrings, gloss satin lipstick,  inside ((  wearing  Weightlifting leggings and weightlifting tank )), Jungle planet filled with dangerous creatures
Belle, Average Height, Thin, Heart-Shaped Face, Dark Skin, Chestnut Hair, Gray Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Fishtail Braid, augmented breasts, , gloss stain lipstick,  inside ((  wearing  Golf pants and golf polo )), Post-apocalyptic wasteland
Belle, Tall, Fit, Square Face, Dark Skin, Silver Hair, ice blue Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Double Braided Crown, firm breasts, Drop earrings, hot pink stain lipstick,  inside ((  wearing  Climbing pants and climbing tank top )), Jungle planet filled with dangerous creatures
Starlet, Short, Wide Hips, Oval Face, Fair Skin, Dark Brown Hair, Sapphire Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Fine Hair, Fishtail Braid, round breasts, Dangle earrings, peach sheer lipstick,  inside ((  wearing  Soccer shorts and soccer jersey )), Giant space station
Enigma, Tall, Slim, Heart-Shaped Face, Tan Skin, Silver Hair, purple Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Tapered Afro, full breasts, Cuff earrings, plum stain lipstick,  inside ((  wearing  Athletic dress )), Giant space station
Gal, Short, Firm, Triangular Face, Dark Skin, Golden Blonde Hair, grey Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Long Straight Hair, full breasts, Cuff earrings, black satin lipstick,  inside ((  wearing  Golf skirt golf polo and visorRacerback sports bra running shorts and lightweight tank top )), Giant space station
Belle, Short, in shape, Round Face, Dark Skin, Honey Blonde Hair, Hazel Eyes with Green Flecks, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Bun, firm breasts, Hoop earrings, cherry satin lipstick,  inside ((  wearing  Snowboarding insulated pants and zip-up hoodie )), Barren desert planet
Dame, Short, Toned, Round Face, Tan Skin, Auburn Hair, silver Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Boho Braid, asymmetrical breasts, Hoop earrings, rust metallic lipstick,  inside ((  wearing  Zumba pants and dance tank top )), Post-apocalyptic wasteland
Duchess, Short, Toned, Square Face, Fair Skin, Platinum Blonde Hair, grey Eyes, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Swept Bangs, asymmetrical breasts, , lavender stain lipstick,  inside ((  wearing  Volleyball shorts and volleyball tank top )), Desolate lunar surface
Heiress, Short, Wide Hips, Diamond-Shaped Face, Tan Skin, Honey Blonde Hair, purple Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Fine Hair, Low Ponytail, firm breasts, Hoop earrings, red stain lipstick,  inside ((  wearing  leggings and tank top )), City floating in the clouds
Madam, Tall, Skinny, Square Face, Dark Skin, Dark Brown Hair, dark brown Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Wavy Updo, soft breasts, Huggie earrings, peach satin lipstick,  inside ((  wearing  Slimfit tracksuit )), Underwater research facility
Heiress, Tall, Wide Hips, Oval Face, Olive Skin, Brunette Hair, Green Eyes, Long Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Blunt Cut Bangs, saggy breasts, Drop earrings, burgundy sheer lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), Frozen tundra with icy mountains
Chanteuse, Short, Skinny, Round Face, Dark Skin, White Hair, Hazel Eyes, Long Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Chignon, round breasts, Threader earrings, green gloss lipstick,  inside ((  wearing  Climbing pants and climbing tank top )), Frozen tundra with icy mountains
Songstress, Average Height, in shape, Triangular Face, Olive Skin, Platinum Blonde Hair, grey-blue Eyes, Long Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Blunt Cut Bangs, saggy breasts, Cuff earrings, plum velvet lipstick,  inside ((  wearing  Bodysuit sweatpants and hoodie )), Frozen tundra with icy mountains
Starlet, Short, Thin, Oval Face, Olive Skin, Dark Brown Hair, Blue Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Top Knot, natural breasts, Clip-on earrings, soft pink stain lipstick,  inside ((  wearing  High-waisted leggings crop top and lightweight hoodie )), Jungle planet filled with dangerous creatures
Vixen, Tall, Skinny, Heart-Shaped Face, Olive Skin, White Hair, green Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, High Ponytail, small breasts, Threader earrings, coral matte lipstick,  inside ((  wearing  Surfing wetsuit )), Post-apocalyptic wasteland
Seductress, Tall, in shape, Square Face, Fair Skin, Platinum Blonde Hair, brown Eyes, Straight Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Tousled Waves, natural breasts, Hoop earrings, rose velvet lipstick,  inside ((  wearing  Volleyball shorts and volleyball tank top )), Alien planet with bioluminescent flora
Superwoman, Average Height, Skinny, Diamond-Shaped Face, Fair Skin, Gray Hair, hazel Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Voluminous Waves, natural breasts, Clip-on earrings, cherry gloss lipstick,  inside ((  wearing  Soccer shorts and soccer jersey )), Barren desert planet
Siren, Short, Thin, Oval Face, Fair Skin, Silver Hair, gold Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, Long Curly Hair, firm breasts, Cuff earrings, grape gloss lipstick,  inside ((  wearing  Athletic dress )), Jungle planet filled with dangerous creatures
Woman, Tall, Skinny, Diamond-Shaped Face, Olive Skin, Platinum Blonde Hair, silver Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Voluminous Waves, soft breasts, Huggie earrings, red metallic lipstick,  inside ((  wearing  Running tights and fitted t-shirt )), Dystopian metropolis
Vixen, Short, Athletic, Diamond-Shaped Face, Fair Skin, Light Brown Hair, jade Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Messy Beach Waves, firm breasts, Clip-on earrings, teal metallic lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), Post-apocalyptic wasteland
Songstress, Average Height, Toned, Heart-Shaped Face, Tan Skin, Gray Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Full Lips, Sharp Chin, Long Hair, Coarse Hair, Fluffy Afro, asymmetrical breasts, Clip-on earrings, rose stain lipstick,  inside ((  wearing  Softball shorts and softball jersey )), Jungle planet filled with dangerous creatures
Starlet, Tall, Narrow Hips, Round Face, Dark Skin, Chestnut Hair, peach Eyes, [[Curved Nose]], Full Lips, Round Chin, Long Hair, Wavy Hair, Curled Bob, firm breasts, Hoop earrings, grape gloss lipstick,  inside ((  wearing  Athletic jumpsuit )), Barren desert planet
Artist, Average Height, Narrow Hips, Heart-Shaped Face, Tan Skin, Gray Hair, Hazel Eyes with Green Flecks, Short Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Straight Bob with Layers, natural breasts, Dangle earrings, coral sheer lipstick,  inside ((  wearing  Snowboarding insulated pants and zip-up hoodie )), Alien planet with bioluminescent flora
Heiress, Short, Thin, Square Face, Olive Skin, Light Brown Hair, light blue Eyes, Short Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Middle Part Bangs, asymmetrical breasts, Threader earrings, fuchsia sheer lipstick,  inside ((  wearing  Fitted yoga shorts and strappy-back tank top )), Underwater research facility
Chanteuse, Average Height, Narrow Hips, Square Face, Dark Skin, Chestnut Hair, brown Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Curly Hair, Side-Swept Bangs, saggy breasts, Faux gauge earrings, coral satin lipstick,  inside ((  wearing  Spandex shorts and compression top )), Post-apocalyptic wasteland
Empress, Average Height, in shape, Diamond-Shaped Face, Dark Skin, Strawberry Blonde Hair, Blue Eyes with Green Flecks, Narrow Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Braided Half Up, natural breasts, Faux gauge earrings, berry metallic lipstick,  inside ((  wearing  Fitness tights and fitted T-shirt )), Giant space station
