Sundresses, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick
Short dresses, Dame, Short, Narrow Hips, Square Face, Dark Skin, Golden Blonde Hair, coral Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Low Chignon, asymmetrical breasts, Huggie earrings, green sheer lipstick
Maxi dresses, Temptress, Short, Lean, Triangular Face, Dark Skin, Silver Hair, amber Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Bangs with Highlights, small breasts, , golden matte lipstick
Rompers, Belle, Average Height, Athletic, Diamond-Shaped Face, Dark Skin, Red Hair, grey Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Straight Bob, saggy breasts, Cuff earrings, golden matte lipstick
Short dresses, Miss, Short, Thin, Heart-Shaped Face, Olive Skin, Chestnut Hair, amethyst Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Formal Braided Updo, full breasts, Cuff earrings, hot pink gloss lipstick
Sleeveless dresses, Escort, Short, Fit, Oval Face, Fair Skin, Dark Brown Hair, black Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Loose Waves, natural breasts, Stud earrings, soft pink satin lipstick
Sleeveless dresses, Trailblazer, Tall, Slim, Diamond-Shaped Face, Olive Skin, Light Brown Hair, pink Eyes, Long Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Herringbone Braid, small breasts, Drop earrings, hot pink metallic lipstick
Sundresses, Sensation, Average Height, Toned, Heart-Shaped Face, Tan Skin, Auburn Hair, grey-blue Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Short Afro, soft breasts, , cream cream lipstick
Sundresses, Mistress, Average Height, Skinny, Heart-Shaped Face, Olive Skin, White Hair, purple Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, High Chignon, full breasts, Threader earrings, cream satin lipstick
Sleeveless dresses, Mistress, Average Height, Lean, Oval Face, Tan Skin, Dark Brown Hair, jade Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Loose Curls, full breasts, Drop earrings, cream sheer lipstick
Sleeveless dresses, Madam, Tall, Athletic, Oval Face, Fair Skin, Brunette Hair, Sapphire Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, Viking Braid, soft breasts, Drop earrings, grape matte lipstick
Sundresses, Baroness, Tall, Firm, Triangular Face, Dark Skin, Brunette Hair, Gray Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Viking Braid, asymmetrical breasts, , grape velvet lipstick
Off-the-shoulder dresses, Temptress, Short, in shape, Square Face, Olive Skin, Red Hair, green Eyes, Long Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Braided Headband, large breasts, Clip-on earrings, green cream lipstick
Rompers, Countess, Short, Wide Hips, Oval Face, Olive Skin, Dark Brown Hair, black Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Long Curled Updo, soft breasts, Hoop earrings, berry velvet lipstick
Sleeveless dresses, Enchantress, Short, Lean, Triangular Face, Tan Skin, Strawberry Blonde Hair, blue Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, French Twist, saggy breasts, Threader earrings, light pink velvet lipstick
Strapless dresses, Goddess, Average Height, Lean, Triangular Face, Dark Skin, Red Hair, yellow Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Curly Hair, Fringed Bangs, small breasts, Drop earrings, magenta velvet lipstick
Strapless dresses, Femme fatale, Tall, Slim, Square Face, Fair Skin, Black Hair, Amber Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Wavy Bob, full breasts, Cuff earrings, terracotta cream lipstick
Caftans, Belle, Average Height, Lean, Round Face, Dark Skin, Brunette Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Thick Hair, French Twist, small breasts, Faux gauge earrings, soft pink stain lipstick
Off-the-shoulder dresses, Female Viking, Tall, Fit, Square Face, Tan Skin, Black Hair, amethyst Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, Low Updo, large breasts, , magenta stain lipstick
Spaghetti strap dresses, Goddess, Tall, Toned, Diamond-Shaped Face, Olive Skin, Red Hair, Hazel Eyes with Green Flecks, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Beach Waves, firm breasts, Dangle earrings, soft pink metallic lipstick
Spaghetti strap dresses, Babe, Tall, Wide Hips, Diamond-Shaped Face, Olive Skin, Honey Blonde Hair, Hazel Eyes with Green Flecks, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Shoulder-Length Curls, soft breasts, Huggie earrings, violet satin lipstick
Caftans, Madame, Tall, Wide Hips, Round Face, Olive Skin, Light Brown Hair, gold Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Formal Updo, full breasts, Faux gauge earrings, rose velvet lipstick
Wrap dresses, Belle, Tall, Fit, Oval Face, Tan Skin, Platinum Blonde Hair, purple Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Wavy Hair, Smooth Waves, saggy breasts, Clip-on earrings, rust satin lipstick
Sleeveless dresses, Visionary, Short, Fit, Round Face, Olive Skin, Chestnut Hair, Green Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Long Hair, Straight Hair, Braided Headband, small breasts, , rust velvet lipstick
Spaghetti strap dresses, Queen, Tall, Fit, Oval Face, Tan Skin, Golden Blonde Hair, green Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Tousled Waves, full breasts, Stud earrings, magenta matte lipstick
Strapless dresses, Dame, Tall, Athletic, Heart-Shaped Face, Tan Skin, Blonde Hair, turquoise Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Braided Headband, soft breasts, Dangle earrings, soft pink cream lipstick
Jumpsuits, Duchess, Average Height, Toned, Heart-Shaped Face, Dark Skin, Dark Brown Hair, Blue Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Ballerina Bun, large breasts, Stud earrings, mauve velvet lipstick
Maxi dresses, Heiress, Short, Narrow Hips, Square Face, Dark Skin, Light Brown Hair, Blue Eyes with Green Flecks, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Angled Bob, full breasts, Faux gauge earrings, fuchsia matte lipstick
Halter dresses, Femme fatale, Short, Thin, Diamond-Shaped Face, Dark Skin, Platinum Blonde Hair, ruby Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Thick Hair, Donut Bun, perky breasts, Drop earrings, rust gloss lipstick
Rompers, Belle, Average Height, Fit, Oval Face, Olive Skin, Red Hair, black Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Curly Afro, augmented breasts, Clip-on earrings, grape stain lipstick
Spaghetti strap dresses, Lady, Short, Thin, Square Face, Dark Skin, Platinum Blonde Hair, black Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Thick Hair, Bun, firm breasts, Faux gauge earrings, hot pink metallic lipstick
Strapless dresses, Mistress, Short, Lean, Diamond-Shaped Face, Fair Skin, Honey Blonde Hair, ice blue Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Waterfall Braid, small breasts, Huggie earrings, orange sheer lipstick
Spaghetti strap dresses, Trailblazer, Tall, Toned, Oval Face, Fair Skin, Platinum Blonde Hair, Sapphire Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Fringed Bangs, large breasts, Cuff earrings, fuchsia sheer lipstick
Jumpsuits, Babe, Average Height, Thin, Oval Face, Olive Skin, White Hair, Brown Eyes with Green Flecks, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Double Braided Crown, saggy breasts, Threader earrings, mauve stain lipstick
Short dresses, Dame, Average Height, Slim, Oval Face, Fair Skin, White Hair, jade Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Afro, natural breasts, Hoop earrings, light pink gloss lipstick
Strapless dresses, Heiress, Average Height, in shape, Heart-Shaped Face, Fair Skin, Black Hair, amber Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Low Messy Bun, small breasts, Cuff earrings, peach matte lipstick
Strapless dresses, Baroness, Average Height, in shape, Triangular Face, Tan Skin, Auburn Hair, Green Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, High Messy Bun, full breasts, Drop earrings, gloss gloss lipstick
Off-the-shoulder dresses, Enigma, Average Height, Wide Hips, Triangular Face, Dark Skin, Blonde Hair, Gray Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Long Wavy Hair, augmented breasts, Faux gauge earrings, magenta velvet lipstick
Halter dresses, Femme fatale, Tall, Narrow Hips, Triangular Face, Fair Skin, Silver Hair, turquoise Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Straight Hair, Viking Braid, saggy breasts, Threader earrings, plum gloss lipstick
Off-the-shoulder dresses, Femme fatale, Average Height, Athletic, Heart-Shaped Face, Olive Skin, Light Brown Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Messy Bun, full breasts, Drop earrings, berry gloss lipstick
Sleeveless dresses, Madam, Average Height, Toned, Square Face, Olive Skin, Dark Brown Hair, jade Eyes, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Dutch Braid, augmented breasts, Faux gauge earrings, fuchsia stain lipstick
Jumpsuits, Enchantress, Short, Wide Hips, Oval Face, Tan Skin, Dark Brown Hair, Hazel Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Voluminous Waves, large breasts, Hoop earrings, soft pink gloss lipstick
Sleeveless dresses, Escort, Average Height, Athletic, Triangular Face, Olive Skin, Light Brown Hair, aquamarine Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Tousled Waves, natural breasts, , magenta sheer lipstick
Jumpsuits, Miss, Average Height, Firm, Oval Face, Dark Skin, Red Hair, green Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Boho Braid, soft breasts, Huggie earrings, magenta satin lipstick
Sleeveless dresses, Luminary, Average Height, Firm, Square Face, Fair Skin, Silver Hair, turquoise Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Tousled Waves, perky breasts, Drop earrings, orange velvet lipstick
Short dresses, Empress, Tall, Wide Hips, Square Face, Fair Skin, Black Hair, green Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Long Wavy Hair, large breasts, Huggie earrings, orange stain lipstick
Rompers, Woman, Tall, Narrow Hips, Round Face, Olive Skin, Brunette Hair, light blue Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Blunt Bangs, perky breasts, Cuff earrings, pink gloss lipstick
Wrap dresses, Superwoman, Tall, Narrow Hips, Heart-Shaped Face, Olive Skin, Light Brown Hair, Amber Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Fine Hair, Beach Waves, soft breasts, Faux gauge earrings, beige velvet lipstick
Off-the-shoulder dresses, Superwoman, Short, Firm, Square Face, Dark Skin, Honey Blonde Hair, Sapphire Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Waterfall Braid, natural breasts, Dangle earrings, plum cream lipstick
Wrap dresses, Superwoman, Average Height, Wide Hips, Round Face, Dark Skin, Honey Blonde Hair, black Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Four-Strand Braid, perky breasts, Drop earrings, terracotta metallic lipstick
Wrap dresses, Seductress, Average Height, Slim, Oval Face, Tan Skin, Black Hair, Blue Eyes with Green Flecks, Short Nose, Thin Lips, Prominent Chin, Long Hair, Curly Hair, Chignon, round breasts, Threader earrings, rose metallic lipstick
Jumpsuits, Diva, Short, Skinny, Heart-Shaped Face, Fair Skin, Gray Hair, green Eyes, Long Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Tousled Waves, full breasts, Stud earrings, gloss satin lipstick
Maxi dresses, Diva, Short, Fit, Round Face, Dark Skin, Golden Blonde Hair, ruby Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Four-Strand Braid, soft breasts, Hoop earrings, coral gloss lipstick
Off-the-shoulder dresses, Artist, Short, Lean, Round Face, Dark Skin, Honey Blonde Hair, teal Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, Blunt Cut Bangs, natural breasts, Dangle earrings, berry matte lipstick
Jumpsuits, Starlet, Tall, Wide Hips, Square Face, Fair Skin, Brunette Hair, black Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Long Wavy Hair, soft breasts, Huggie earrings, magenta matte lipstick
Wrap dresses, Siren, Tall, Firm, Diamond-Shaped Face, Olive Skin, Gray Hair, red Eyes, Wide Nose, Pouty Lips, Round Chin, Long Hair, Straight Hair, Swept Bangs, small breasts, , brown cream lipstick
Sleeveless dresses, Gal, Short, Athletic, Diamond-Shaped Face, Tan Skin, Strawberry Blonde Hair, Brown Eyes with Green Flecks, Long Nose, Thick Lips, Sharp Chin, Long Hair, Straight Hair, Shaggy Cut, saggy breasts, Hoop earrings, cherry sheer lipstick
Sleeveless dresses, Starlet, Average Height, Lean, Square Face, Dark Skin, Red Hair, purple Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Lace Braid, asymmetrical breasts, , coral velvet lipstick
Caftans, Seductress, Tall, Lean, Round Face, Olive Skin, Dark Brown Hair, purple Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Side French Braid, soft breasts, , pink velvet lipstick
Short dresses, Chanteuse, Average Height, Slim, Round Face, Olive Skin, Blonde Hair, yellow Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Sleek Bun, round breasts, Hoop earrings, rose gloss lipstick
Sleeveless dresses, Temptress, Average Height, in shape, Triangular Face, Fair Skin, White Hair, coral Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Thick Hair, Loose Curls, asymmetrical breasts, Dangle earrings, terracotta satin lipstick
Jumpsuits, Enigma, Average Height, Athletic, Round Face, Fair Skin, Chestnut Hair, light blue Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Chignon, augmented breasts, Cuff earrings, lavender velvet lipstick
Wrap dresses, Gal, Average Height, Lean, Triangular Face, Tan Skin, Golden Blonde Hair, Amber Eyes, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Wavy Layered Bob, small breasts, , fuchsia cream lipstick
Sleeveless dresses, Belle, Average Height, Wide Hips, Diamond-Shaped Face, Fair Skin, Gray Hair, peach Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Long Hair, Fine Hair, Updo, saggy breasts, Faux gauge earrings, red gloss lipstick
Sundresses, Seductress, Short, Narrow Hips, Triangular Face, Olive Skin, Silver Hair, dark brown Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Boho Braid, natural breasts, Hoop earrings, plum satin lipstick
Maxi dresses, Starlet, Tall, Slim, Square Face, Olive Skin, Dark Brown Hair, Green Eyes, Wide Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Wavy Updo, asymmetrical breasts, , orange metallic lipstick
Short dresses, Female Warrior, Average Height, Thin, Square Face, Fair Skin, Light Brown Hair, peach Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Lace Braid, full breasts, Dangle earrings, berry satin lipstick
Off-the-shoulder dresses, Diva, Average Height, Toned, Square Face, Dark Skin, Honey Blonde Hair, dark brown Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Layered Bob, augmented breasts, Stud earrings, pink metallic lipstick
Rompers, Madame, Tall, Lean, Square Face, Fair Skin, Honey Blonde Hair, Amber Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Rope Braid, perky breasts, Dangle earrings, hot pink matte lipstick
Strapless dresses, Sensation, Short, Firm, Diamond-Shaped Face, Olive Skin, Red Hair, brown Eyes, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Frohawk, asymmetrical breasts, Hoop earrings, peach cream lipstick
Halter dresses, Songstress, Short, in shape, Heart-Shaped Face, Dark Skin, Auburn Hair, light blue Eyes, Long Nose, Full Lips, Round Chin, Long Hair, Curly Hair, Low Updo, small breasts, Clip-on earrings, golden cream lipstick
Strapless dresses, Madame, Tall, Athletic, Heart-Shaped Face, Dark Skin, Honey Blonde Hair, dark brown Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Viking Braid, firm breasts, Dangle earrings, terracotta matte lipstick
Halter dresses, Belle, Short, Slim, Triangular Face, Tan Skin, Red Hair, blue Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Stacked Bob, soft breasts, Huggie earrings, coral matte lipstick
Short dresses, Belle, Short, Fit, Heart-Shaped Face, Fair Skin, White Hair, Brown Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Bun, augmented breasts, Hoop earrings, red sheer lipstick
Off-the-shoulder dresses, Female Viking, Average Height, Athletic, Diamond-Shaped Face, Tan Skin, Silver Hair, red Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, Voluminous Waves, saggy breasts, Dangle earrings, golden metallic lipstick
Strapless dresses, Temptress, Average Height, in shape, Oval Face, Olive Skin, Platinum Blonde Hair, Brown Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Braided Crown, round breasts, Faux gauge earrings, brown satin lipstick
Caftans, Luminary, Average Height, Firm, Oval Face, Dark Skin, Strawberry Blonde Hair, teal Eyes, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Low Chignon, firm breasts, Drop earrings, beige velvet lipstick
Caftans, Artist, Short, in shape, Heart-Shaped Face, Dark Skin, Brunette Hair, Green Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Side Bangs, soft breasts, , violet cream lipstick
Sleeveless dresses, Female Warrior, Short, Toned, Square Face, Fair Skin, Strawberry Blonde Hair, green Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, Loose Curls, asymmetrical breasts, Cuff earrings, cream cream lipstick
Rompers, Empress, Average Height, Thin, Heart-Shaped Face, Tan Skin, Auburn Hair, light blue Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Wavy Updo, natural breasts, , coral matte lipstick
