autumn, A long cardigan with a tank top, leggings, and boots, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick
summer, A structured jumpsuit with espadrilles and a scarf, Escort, Average Height, Narrow Hips, Diamond-Shaped Face, Dark Skin, Brunette Hair, grey-blue Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Wavy Hair, Ballerina Bun, round breasts, Threader earrings, pink matte lipstick
summer, An oversized denim jacket with white jeans and strappy sandals, Enchantress, Short, Thin, Heart-Shaped Face, Olive Skin, Silver Hair, Blue Eyes with Green Flecks, Short Nose, Thick Lips, Sharp Chin, Long Hair, Thick Hair, Straight Updo, firm breasts, Drop earrings, fuchsia satin lipstick
winter, Sweater with a scarf, beanie and gloves, Escort, Average Height, Athletic, Oval Face, Tan Skin, Golden Blonde Hair, brown Eyes, Straight Nose, Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Braided Updo, firm breasts, Hoop earrings, gloss gloss lipstick
autumn, A button-down dress with a scarf and loafers, Chanteuse, Average Height, Narrow Hips, Triangular Face, Tan Skin, Strawberry Blonde Hair, yellow Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Fauxhawk, augmented breasts, Faux gauge earrings, berry stain lipstick
summer, A midi skirt with a tucked in blouse and sandals, Diva, Short, Skinny, Round Face, Tan Skin, Gray Hair, amber Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Fishbone Braid, round breasts, Faux gauge earrings, rust velvet lipstick
winter, A button-down dress with a wool scarf and loafers, Mistress, Tall, Athletic, Diamond-Shaped Face, Olive Skin, Black Hair, Hazel Eyes with Green Flecks, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Sock Bun, natural breasts, Drop earrings, berry matte lipstick
autumn, A turtleneck with a midi skirt and ankle boots, Countess, Average Height, Lean, Heart-Shaped Face, Tan Skin, Chestnut Hair, Amber Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Long Hair, Curly Hair, Bouncy Curls, round breasts, Drop earrings, light pink matte lipstick
summer, A maxi dress with sandals, Heiress, Average Height, Athletic, Round Face, Olive Skin, Blonde Hair, grey-blue Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, High Messy Bun, large breasts, Dangle earrings, orange metallic lipstick
winter, Sweater with a scarf, beanie and gloves, Miss, Short, Thin, Square Face, Tan Skin, Platinum Blonde Hair, ice blue Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Thick Hair, Fishtail Braid, small breasts, Hoop earrings, lavender sheer lipstick
autumn, A sweater dress with over-the-knee boots, Charmer, Average Height, Wide Hips, Heart-Shaped Face, Olive Skin, Silver Hair, silver Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sleek Waves, small breasts, Huggie earrings, grape gloss lipstick
summer, A lightweight linen sweater with shorts and sandals, Miss, Short, Thin, Round Face, Olive Skin, Light Brown Hair, Amber Eyes, Wide Nose, Thin Lips, Sharp Chin, Long Hair, Wavy Hair, Boho Braid, round breasts, , lavender gloss lipstick
autumn, A puffer jacket with a turtleneck, jeans, and boots, Sensation, Short, Firm, Triangular Face, Fair Skin, Gray Hair, Blue Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Double Braided Crown, asymmetrical breasts, Hoop earrings, hot pink cream lipstick
spring, An oversized blazer with black jeans and heels, Dame, Short, Narrow Hips, Square Face, Dark Skin, Golden Blonde Hair, coral Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Low Chignon, asymmetrical breasts, Huggie earrings, green sheer lipstick
spring, A pastel blazer with a white tee and white jeans, Temptress, Short, Lean, Triangular Face, Dark Skin, Silver Hair, amber Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Bangs with Highlights, small breasts, , golden matte lipstick
spring, A flowy sundress with a denim jacket and sneakers, Belle, Average Height, Athletic, Diamond-Shaped Face, Dark Skin, Red Hair, grey Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Straight Bob, saggy breasts, Cuff earrings, golden matte lipstick
winter, A wrap dress with booties and a belt, Miss, Short, Thin, Heart-Shaped Face, Olive Skin, Chestnut Hair, amethyst Eyes, Wide Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Formal Braided Updo, full breasts, Cuff earrings, hot pink gloss lipstick
winter, A striped jumpsuit with a wool coat, Escort, Short, Fit, Oval Face, Fair Skin, Dark Brown Hair, black Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Loose Waves, natural breasts, Stud earrings, soft pink satin lipstick
spring, A sundress with sandals and a denim jacket, Trailblazer, Tall, Slim, Diamond-Shaped Face, Olive Skin, Light Brown Hair, pink Eyes, Long Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Herringbone Braid, small breasts, Drop earrings, hot pink metallic lipstick
winter, Parka with a sweater and thermal wear, Sensation, Average Height, Toned, Heart-Shaped Face, Tan Skin, Auburn Hair, grey-blue Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Short Afro, soft breasts, , cream cream lipstick
winter, A chunky-knit sweater with jeans and combat boots, Mistress, Average Height, Skinny, Heart-Shaped Face, Olive Skin, White Hair, purple Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, High Chignon, full breasts, Threader earrings, cream satin lipstick
spring, A jumpsuit with a belt and block heels, Mistress, Average Height, Lean, Oval Face, Tan Skin, Dark Brown Hair, jade Eyes, Narrow Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Loose Curls, full breasts, Drop earrings, cream sheer lipstick
spring, A striped t-shirt with distressed jeans and sandals, Madam, Tall, Athletic, Oval Face, Fair Skin, Brunette Hair, Sapphire Eyes, Narrow Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, Viking Braid, soft breasts, Drop earrings, grape matte lipstick
spring, A ruffled blouse with high-waisted shorts and espadrilles, Baroness, Tall, Firm, Triangular Face, Dark Skin, Brunette Hair, Gray Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Viking Braid, asymmetrical breasts, , grape velvet lipstick
summer, A sleeveless blouse with a midi skirt and wedges, Temptress, Short, in shape, Square Face, Olive Skin, Red Hair, green Eyes, Long Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Braided Headband, large breasts, Clip-on earrings, green cream lipstick
summer, A collared shirt with linen trousers and espadrilles, Countess, Short, Wide Hips, Oval Face, Olive Skin, Dark Brown Hair, black Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Long Curled Updo, soft breasts, Hoop earrings, berry velvet lipstick
summer, A floral sundress with sandals and a straw hat, Enchantress, Short, Lean, Triangular Face, Tan Skin, Strawberry Blonde Hair, blue Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Wavy Hair, French Twist, saggy breasts, Threader earrings, light pink velvet lipstick
winter, A collared shirt with a pleated skirt and ankle boots, Goddess, Average Height, Lean, Triangular Face, Dark Skin, Red Hair, yellow Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Long Hair, Curly Hair, Fringed Bangs, small breasts, Drop earrings, magenta velvet lipstick
winter, A striped jumpsuit with a wool coat, Femme fatale, Tall, Slim, Square Face, Fair Skin, Black Hair, Amber Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Straight Hair, Wavy Bob, full breasts, Cuff earrings, terracotta cream lipstick
autumn, A sweater with skinny jeans and ankle boots, Belle, Average Height, Lean, Round Face, Dark Skin, Brunette Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Thick Hair, French Twist, small breasts, Faux gauge earrings, soft pink stain lipstick
autumn, A midi skirt with a tucked in turtleneck and ankle boots, Female Viking, Tall, Fit, Square Face, Tan Skin, Black Hair, amethyst Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Straight Hair, Low Updo, large breasts, , magenta stain lipstick
summer, A short sundress with espadrilles and a straw tote, Goddess, Tall, Toned, Diamond-Shaped Face, Olive Skin, Red Hair, Hazel Eyes with Green Flecks, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Beach Waves, firm breasts, Dangle earrings, soft pink metallic lipstick
winter, A pleated midi skirt with a blouse and ankle boots, Babe, Tall, Wide Hips, Diamond-Shaped Face, Olive Skin, Honey Blonde Hair, Hazel Eyes with Green Flecks, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Shoulder-Length Curls, soft breasts, Huggie earrings, violet satin lipstick
winter, An oversized faux fur coat with black jeans and heels, Madame, Tall, Wide Hips, Round Face, Olive Skin, Light Brown Hair, gold Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Formal Updo, full breasts, Faux gauge earrings, rose velvet lipstick
autumn, A lightweight sweater with corduroy pants and sneakers, Belle, Tall, Fit, Oval Face, Tan Skin, Platinum Blonde Hair, purple Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Wavy Hair, Smooth Waves, saggy breasts, Clip-on earrings, rust satin lipstick
winter, A pleated midi skirt with a blouse and ankle boots, Visionary, Short, Fit, Round Face, Olive Skin, Chestnut Hair, Green Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Long Hair, Straight Hair, Braided Headband, small breasts, , rust velvet lipstick
summer, A floral midi dress with sandals and a straw hat, Queen, Tall, Fit, Oval Face, Tan Skin, Golden Blonde Hair, green Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Tousled Waves, full breasts, Stud earrings, magenta matte lipstick
summer, A sundress with a denim jacket and sneakers, Dame, Tall, Athletic, Heart-Shaped Face, Tan Skin, Blonde Hair, turquoise Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Braided Headband, soft breasts, Dangle earrings, soft pink cream lipstick
spring, A collared shirt with a pleated skirt and ballet flats, Duchess, Average Height, Toned, Heart-Shaped Face, Dark Skin, Dark Brown Hair, Blue Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Ballerina Bun, large breasts, Stud earrings, mauve velvet lipstick
spring, A printed romper with platform sandals and a straw hat, Heiress, Short, Narrow Hips, Square Face, Dark Skin, Light Brown Hair, Blue Eyes with Green Flecks, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Angled Bob, full breasts, Faux gauge earrings, fuchsia matte lipstick
autumn, A turtleneck dress with ankle boots and a leather jacket, Femme fatale, Short, Thin, Diamond-Shaped Face, Dark Skin, Platinum Blonde Hair, ruby Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Thick Hair, Donut Bun, perky breasts, Drop earrings, rust gloss lipstick
autumn, A bomber jacket with a sweater dress and ankle boots, Belle, Average Height, Fit, Oval Face, Olive Skin, Red Hair, black Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Curly Afro, augmented breasts, Clip-on earrings, grape stain lipstick
winter, A lightweight sweater with black jeans and combat boots, Lady, Short, Thin, Square Face, Dark Skin, Platinum Blonde Hair, black Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Thick Hair, Bun, firm breasts, Faux gauge earrings, hot pink metallic lipstick
winter, Puffy jacket with skinny jeans and snow boots, Mistress, Short, Lean, Diamond-Shaped Face, Fair Skin, Honey Blonde Hair, ice blue Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Waterfall Braid, small breasts, Huggie earrings, orange sheer lipstick
winter, Puffy jacket with skinny jeans and snow boots, Trailblazer, Tall, Toned, Oval Face, Fair Skin, Platinum Blonde Hair, Sapphire Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Fringed Bangs, large breasts, Cuff earrings, fuchsia sheer lipstick
spring, A ruffled blouse with high-waisted shorts and espadrilles, Babe, Average Height, Thin, Oval Face, Olive Skin, White Hair, Brown Eyes with Green Flecks, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Double Braided Crown, saggy breasts, Threader earrings, mauve stain lipstick
spring, A midi wrap skirt with a tucked in tank and sneakers, Dame, Average Height, Slim, Oval Face, Fair Skin, White Hair, jade Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Afro, natural breasts, Hoop earrings, light pink gloss lipstick
autumn, A bomber jacket with a sweater dress and ankle boots, Heiress, Average Height, in shape, Heart-Shaped Face, Fair Skin, Black Hair, amber Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Low Messy Bun, small breasts, Cuff earrings, peach matte lipstick
summer, A tank top with a maxi skirt and sandals, Baroness, Average Height, in shape, Triangular Face, Tan Skin, Auburn Hair, Green Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, High Messy Bun, full breasts, Drop earrings, gloss gloss lipstick
summer, A strapless sundress with a denim jacket and espadrilles, Enigma, Average Height, Wide Hips, Triangular Face, Dark Skin, Blonde Hair, Gray Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Long Wavy Hair, augmented breasts, Faux gauge earrings, magenta velvet lipstick
summer, An oversized denim jacket with white jeans and strappy sandals, Femme fatale, Tall, Narrow Hips, Triangular Face, Fair Skin, Silver Hair, turquoise Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Straight Hair, Viking Braid, saggy breasts, Threader earrings, plum gloss lipstick
spring, A floral print sundress with sandals and a denim jacket, Femme fatale, Average Height, Athletic, Heart-Shaped Face, Olive Skin, Light Brown Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Messy Bun, full breasts, Drop earrings, berry gloss lipstick
autumn, A plaid shirt with leggings and tall boots, Madam, Average Height, Toned, Square Face, Olive Skin, Dark Brown Hair, jade Eyes, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Dutch Braid, augmented breasts, Faux gauge earrings, fuchsia stain lipstick
summer, A strapless sundress with a denim jacket and espadrilles, Enchantress, Short, Wide Hips, Oval Face, Tan Skin, Dark Brown Hair, Hazel Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Voluminous Waves, large breasts, Hoop earrings, soft pink gloss lipstick
spring, A pastel lightweight sweater with cropped white jeans and sneakers, Escort, Average Height, Athletic, Triangular Face, Olive Skin, Light Brown Hair, aquamarine Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Tousled Waves, natural breasts, , magenta sheer lipstick
summer, A button-down dress with a bandana and sneakers, Miss, Average Height, Firm, Oval Face, Dark Skin, Red Hair, green Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Boho Braid, soft breasts, Huggie earrings, magenta satin lipstick
spring, A sleeveless blouse with a denim skirt and heels, Luminary, Average Height, Firm, Square Face, Fair Skin, Silver Hair, turquoise Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Tousled Waves, perky breasts, Drop earrings, orange velvet lipstick
summer, An oversized denim jacket with white jeans and strappy sandals, Empress, Tall, Wide Hips, Square Face, Fair Skin, Black Hair, green Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Long Wavy Hair, large breasts, Huggie earrings, orange stain lipstick
summer, A tank top with shorts and sneakers, Woman, Tall, Narrow Hips, Round Face, Olive Skin, Brunette Hair, light blue Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Blunt Bangs, perky breasts, Cuff earrings, pink gloss lipstick
spring, A wrap dress with espadrille wedges, Superwoman, Tall, Narrow Hips, Heart-Shaped Face, Olive Skin, Light Brown Hair, Amber Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Fine Hair, Beach Waves, soft breasts, Faux gauge earrings, beige velvet lipstick
spring, A sleeveless blouse with a denim skirt and heels, Superwoman, Short, Firm, Square Face, Dark Skin, Honey Blonde Hair, Sapphire Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Waterfall Braid, natural breasts, Dangle earrings, plum cream lipstick
spring, A midi skirt with a tucked in blouse and ankle boots, Superwoman, Average Height, Wide Hips, Round Face, Dark Skin, Honey Blonde Hair, black Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Four-Strand Braid, perky breasts, Drop earrings, terracotta metallic lipstick
autumn, A tweed blazer with a white tee and jeans, Seductress, Average Height, Slim, Oval Face, Tan Skin, Black Hair, Blue Eyes with Green Flecks, Short Nose, Thin Lips, Prominent Chin, Long Hair, Curly Hair, Chignon, round breasts, Threader earrings, rose metallic lipstick
winter, Sweater with a scarf, beanie and gloves, Diva, Short, Skinny, Heart-Shaped Face, Fair Skin, Gray Hair, green Eyes, Long Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Tousled Waves, full breasts, Stud earrings, gloss satin lipstick
autumn, An oversized blazer with dark jeans and block heels, Diva, Short, Fit, Round Face, Dark Skin, Golden Blonde Hair, ruby Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Four-Strand Braid, soft breasts, Hoop earrings, coral gloss lipstick
