Gold, bib necklace, Superwoman, Average Height, Narrow Hips, Oval Face, Fair Skin, Dark Brown Hair, light blue Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Voluminous Waves, full breasts, Drop earrings, teal sheer lipstick, Yellow Lace Halter Bralette and Thong Set
Ruthenium, cocktail ring, Goddess, Tall, Toned, Diamond-Shaped Face, Olive Skin, Red Hair, Hazel Eyes with Green Flecks, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Beach Waves, firm breasts, Dangle earrings, soft pink metallic lipstick, Gold Strappy Bodysuit
Platinum, friendship bracelet, Babe, Tall, Wide Hips, Diamond-Shaped Face, Olive Skin, Honey Blonde Hair, Hazel Eyes with Green Flecks, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Shoulder-Length Curls, soft breasts, Huggie earrings, violet satin lipstick, Red Lace Bra and Panty Set with Garter Belt
Palladium, chain necklace, Madame, Tall, Wide Hips, Round Face, Olive Skin, Light Brown Hair, gold Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Formal Updo, full breasts, Faux gauge earrings, rose velvet lipstick, Purple Velvet Robe with Fur Trim 
Platinum, necklace, Belle, Tall, Fit, Oval Face, Tan Skin, Platinum Blonde Hair, purple Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Wavy Hair, Smooth Waves, saggy breasts, Clip-on earrings, rust satin lipstick, Maroon Satin and Lace Corset 
Germanium, chain bracelet, Visionary, Short, Fit, Round Face, Olive Skin, Chestnut Hair, Green Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Long Hair, Straight Hair, Braided Headband, small breasts, , rust velvet lipstick, Silver Silk Bra and Panty Set with Garter Belt
Cadmium, beaded necklace, Queen, Tall, Fit, Oval Face, Tan Skin, Golden Blonde Hair, green Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Tousled Waves, full breasts, Stud earrings, magenta matte lipstick, White Satin and Lace Bra and Panty Set
Rhodium, choker, Dame, Tall, Athletic, Heart-Shaped Face, Tan Skin, Blonde Hair, turquoise Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Braided Headband, soft breasts, Dangle earrings, soft pink cream lipstick, Purple Velvet Robe with Fur Trim 
Gallium, watch bracelet, Duchess, Average Height, Toned, Heart-Shaped Face, Dark Skin, Dark Brown Hair, Blue Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Thick Hair, Ballerina Bun, large breasts, Stud earrings, mauve velvet lipstick, Brown Strappy Bodysuit
Radium, pearl necklace, Heiress, Short, Narrow Hips, Square Face, Dark Skin, Light Brown Hair, Blue Eyes with Green Flecks, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Angled Bob, full breasts, Faux gauge earrings, fuchsia matte lipstick, Pink Lace Garter Slip with Matching Thong
Palladium, torc necklace, Femme fatale, Short, Thin, Diamond-Shaped Face, Dark Skin, Platinum Blonde Hair, ruby Eyes, [[Curved Nose]], Thin Lips, Prominent Chin, Long Hair, Thick Hair, Donut Bun, perky breasts, Drop earrings, rust gloss lipstick, Tan Faux Leather Slip Dress
Gallium, statement necklace, Belle, Average Height, Fit, Oval Face, Olive Skin, Red Hair, black Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Curly Afro, augmented breasts, Clip-on earrings, grape stain lipstick, Plum Satin and Lace Bustier 
Beryllium, anklet, Lady, Short, Thin, Square Face, Dark Skin, Platinum Blonde Hair, black Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Thick Hair, Bun, firm breasts, Faux gauge earrings, hot pink metallic lipstick, Black Cutout Bodysuit with Zipper
Germanium, multi-strand necklace, Mistress, Short, Lean, Diamond-Shaped Face, Fair Skin, Honey Blonde Hair, ice blue Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Waterfall Braid, small breasts, Huggie earrings, orange sheer lipstick, Purple Velvet Robe with Fur Trim 
Osmium, slave bracelet, Trailblazer, Tall, Toned, Oval Face, Fair Skin, Platinum Blonde Hair, Sapphire Eyes, Straight Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Fringed Bangs, large breasts, Cuff earrings, fuchsia sheer lipstick, White Sheer Teddy with Lace Trim
Palladium, chain necklace, Babe, Average Height, Thin, Oval Face, Olive Skin, White Hair, Brown Eyes with Green Flecks, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Double Braided Crown, saggy breasts, Threader earrings, mauve stain lipstick, Black Leather Bralette and Panty Set
Rhodium, chain necklace, Dame, Average Height, Slim, Oval Face, Fair Skin, White Hair, jade Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Afro, natural breasts, Hoop earrings, light pink gloss lipstick, Gold Strappy Bodysuit
Gold, beaded necklace, Heiress, Average Height, in shape, Heart-Shaped Face, Fair Skin, Black Hair, amber Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Low Messy Bun, small breasts, Cuff earrings, peach matte lipstick, Green Satin Robe with Lace Trim
Radium, flower brooch, Baroness, Average Height, in shape, Triangular Face, Tan Skin, Auburn Hair, Green Eyes, Narrow Nose, Full Lips, Prominent Chin, Long Hair, Curly Hair, High Messy Bun, full breasts, Drop earrings, gloss gloss lipstick, Blue Sheer Babydoll with Satin Trim
Rhodium, pendant, Enigma, Average Height, Wide Hips, Triangular Face, Dark Skin, Blonde Hair, Gray Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Long Wavy Hair, augmented breasts, Faux gauge earrings, magenta velvet lipstick, Blue Satin and Lace Cami and Short Set
Osmium, cocktail ring, Femme fatale, Tall, Narrow Hips, Triangular Face, Fair Skin, Silver Hair, turquoise Eyes, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Straight Hair, Viking Braid, saggy breasts, Threader earrings, plum gloss lipstick, Silver Silk Bra and Panty Set with Garter Belt
Iridium, cocktail ring, Femme fatale, Average Height, Athletic, Heart-Shaped Face, Olive Skin, Light Brown Hair, Hazel Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Messy Bun, full breasts, Drop earrings, berry gloss lipstick, Blue Satin and Lace Cami and Short Set
Beryllium, slave bracelet, Madam, Average Height, Toned, Square Face, Olive Skin, Dark Brown Hair, jade Eyes, Wide Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Dutch Braid, augmented breasts, Faux gauge earrings, fuchsia stain lipstick, Crimson Velvet Cami and Short Set 
Rhenium, vintage brooch, Enchantress, Short, Wide Hips, Oval Face, Tan Skin, Dark Brown Hair, Hazel Eyes, Narrow Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Voluminous Waves, large breasts, Hoop earrings, soft pink gloss lipstick, Silver Sequin Bralette
Radium, slave bracelet, Escort, Average Height, Athletic, Triangular Face, Olive Skin, Light Brown Hair, aquamarine Eyes, Short Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, Tousled Waves, natural breasts, , magenta sheer lipstick, Silver Sequin Bralette
Iridium, necklace, Miss, Average Height, Firm, Oval Face, Dark Skin, Red Hair, green Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Boho Braid, soft breasts, Huggie earrings, magenta satin lipstick, Black Sheer Teddy with Floral Applique
Indium, brooch pin, Luminary, Average Height, Firm, Square Face, Fair Skin, Silver Hair, turquoise Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Thick Hair, Tousled Waves, perky breasts, Drop earrings, orange velvet lipstick, Green Sequin Slip Dress with Thigh-High Slits
Silver, watch bracelet, Empress, Tall, Wide Hips, Square Face, Fair Skin, Black Hair, green Eyes, [[Curved Nose]], Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Long Wavy Hair, large breasts, Huggie earrings, orange stain lipstick, Navy Blue Satin Garter Belt with Suspenders 
Beryllium, chain necklace, Woman, Tall, Narrow Hips, Round Face, Olive Skin, Brunette Hair, light blue Eyes, Wide Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Blunt Bangs, perky breasts, Cuff earrings, pink gloss lipstick, Teal Velvet Chemise with Ruffles 
Gallium, slave bracelet, Superwoman, Tall, Narrow Hips, Heart-Shaped Face, Olive Skin, Light Brown Hair, Amber Eyes, Straight Nose, Pouty Lips, Receding Chin, Long Hair, Fine Hair, Beach Waves, soft breasts, Faux gauge earrings, beige velvet lipstick, Mint Green Mesh Teddy 
Tantalum, cuff bracelet, Superwoman, Short, Firm, Square Face, Dark Skin, Honey Blonde Hair, Sapphire Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Coarse Hair, Waterfall Braid, natural breasts, Dangle earrings, plum cream lipstick, Black Leather Bralette and Panty Set
Radium, brooch pin, Superwoman, Average Height, Wide Hips, Round Face, Dark Skin, Honey Blonde Hair, black Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Four-Strand Braid, perky breasts, Drop earrings, terracotta metallic lipstick, Grey Faux Leather Corset 
Silver, necklace, Seductress, Average Height, Slim, Oval Face, Tan Skin, Black Hair, Blue Eyes with Green Flecks, Short Nose, Thin Lips, Prominent Chin, Long Hair, Curly Hair, Chignon, round breasts, Threader earrings, rose metallic lipstick, Tan Faux Leather Slip Dress
Beryllium, choker, Diva, Short, Skinny, Heart-Shaped Face, Fair Skin, Gray Hair, green Eyes, Long Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Tousled Waves, full breasts, Stud earrings, gloss satin lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Indium, tennis necklace, Diva, Short, Fit, Round Face, Dark Skin, Golden Blonde Hair, ruby Eyes, Long Nose, Thick Lips, Round Chin, Long Hair, Thick Hair, Four-Strand Braid, soft breasts, Hoop earrings, coral gloss lipstick, Fuchsia Mesh Halter Bra and Panty Set
Rhodium, friendship bracelet, Artist, Short, Lean, Round Face, Dark Skin, Honey Blonde Hair, teal Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, Blunt Cut Bangs, natural breasts, Dangle earrings, berry matte lipstick, Plum Satin and Lace Bustier 
Cadmium, chain necklace, Starlet, Tall, Wide Hips, Square Face, Fair Skin, Brunette Hair, black Eyes, [[Curved Nose]], Full Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Long Wavy Hair, soft breasts, Huggie earrings, magenta matte lipstick, Fuchsia Mesh Halter Bra and Panty Set
Osmium, vintage brooch, Siren, Tall, Firm, Diamond-Shaped Face, Olive Skin, Gray Hair, red Eyes, Wide Nose, Pouty Lips, Round Chin, Long Hair, Straight Hair, Swept Bangs, small breasts, , brown cream lipstick, Pink Lace Garter Slip with Matching Thong
Platinum, animal brooch, Gal, Short, Athletic, Diamond-Shaped Face, Tan Skin, Strawberry Blonde Hair, Brown Eyes with Green Flecks, Long Nose, Thick Lips, Sharp Chin, Long Hair, Straight Hair, Shaggy Cut, saggy breasts, Hoop earrings, cherry sheer lipstick, Ivory Lace Teddy
Germanium, anklet, Starlet, Average Height, Lean, Square Face, Dark Skin, Red Hair, purple Eyes, Long Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Lace Braid, asymmetrical breasts, , coral velvet lipstick, Purple Mesh Babydoll with Matching G-String
Iridium, necklace, Seductress, Tall, Lean, Round Face, Olive Skin, Dark Brown Hair, purple Eyes, Narrow Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Side French Braid, soft breasts, , pink velvet lipstick, Black Mesh Bodysuit with Embroidered Flowers
Gallium, brooch pin, Chanteuse, Average Height, Slim, Round Face, Olive Skin, Blonde Hair, yellow Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Sleek Bun, round breasts, Hoop earrings, rose gloss lipstick, Yellow Lace Garter Belt 
Iridium, watch bracelet, Temptress, Average Height, in shape, Triangular Face, Fair Skin, White Hair, coral Eyes, [[Curved Nose]], Thick Lips, Round Chin, Long Hair, Thick Hair, Loose Curls, asymmetrical breasts, Dangle earrings, terracotta satin lipstick, Maroon Satin and Lace Corset 
Palladium, cuff bracelet, Enigma, Average Height, Athletic, Round Face, Fair Skin, Chestnut Hair, light blue Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Chignon, augmented breasts, Cuff earrings, lavender velvet lipstick, Blue Satin and Lace Cami and Short Set
Iridium, pendant, Gal, Average Height, Lean, Triangular Face, Tan Skin, Golden Blonde Hair, Amber Eyes, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Wavy Layered Bob, small breasts, , fuchsia cream lipstick, Silver Sequin Bralette
Indium, flower brooch, Belle, Average Height, Wide Hips, Diamond-Shaped Face, Fair Skin, Gray Hair, peach Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Long Hair, Fine Hair, Updo, saggy breasts, Faux gauge earrings, red gloss lipstick, Grey Faux Leather Corset 
Silver, ankle strap, Seductress, Short, Narrow Hips, Triangular Face, Olive Skin, Silver Hair, dark brown Eyes, Long Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Coarse Hair, Boho Braid, natural breasts, Hoop earrings, plum satin lipstick, Brown Strappy Bodysuit
Gallium, ankle strap, Starlet, Tall, Slim, Square Face, Olive Skin, Dark Brown Hair, Green Eyes, Wide Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Wavy Updo, asymmetrical breasts, , orange metallic lipstick, White Lace Bralette and Boyshorts Set
Gallium, choker, Female Warrior, Average Height, Thin, Square Face, Fair Skin, Light Brown Hair, peach Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Fine Hair, Lace Braid, full breasts, Dangle earrings, berry satin lipstick, White Satin and Lace Bra and Panty Set
Cadmium, pendant, Diva, Average Height, Toned, Square Face, Dark Skin, Honey Blonde Hair, dark brown Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Layered Bob, augmented breasts, Stud earrings, pink metallic lipstick, Pink Lace Chemise with Ruffle Details
Beryllium, pendant, Madame, Tall, Lean, Square Face, Fair Skin, Honey Blonde Hair, Amber Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Rope Braid, perky breasts, Dangle earrings, hot pink matte lipstick, Brown Strappy Bodysuit
Gold, brooch, Sensation, Short, Firm, Diamond-Shaped Face, Olive Skin, Red Hair, brown Eyes, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Frohawk, asymmetrical breasts, Hoop earrings, peach cream lipstick, Green Satin Robe with Lace Trim
Radium, brooch, Songstress, Short, in shape, Heart-Shaped Face, Dark Skin, Auburn Hair, light blue Eyes, Long Nose, Full Lips, Round Chin, Long Hair, Curly Hair, Low Updo, small breasts, Clip-on earrings, golden cream lipstick, Blue Strappy Bodysuit with Cutouts
Gold, bangle bracelet, Madame, Tall, Athletic, Heart-Shaped Face, Dark Skin, Honey Blonde Hair, dark brown Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Viking Braid, firm breasts, Dangle earrings, terracotta matte lipstick, Blue Satin and Lace Cami and Short Set
Gold, pearl necklace, Belle, Short, Slim, Triangular Face, Tan Skin, Red Hair, blue Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Stacked Bob, soft breasts, Huggie earrings, coral matte lipstick, Ivory Lace Teddy
Radium, vintage brooch, Belle, Short, Fit, Heart-Shaped Face, Fair Skin, White Hair, Brown Eyes, Short Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Bun, augmented breasts, Hoop earrings, red sheer lipstick, Red Satin Babydoll
Iridium, brooch pin, Female Viking, Average Height, Athletic, Diamond-Shaped Face, Tan Skin, Silver Hair, red Eyes, Short Nose, Thin Lips, Prominent Chin, Long Hair, Coarse Hair, Voluminous Waves, saggy breasts, Dangle earrings, golden metallic lipstick, Grey Faux Leather Corset 
Silver, ankle strap, Temptress, Average Height, in shape, Oval Face, Olive Skin, Platinum Blonde Hair, Brown Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Braided Crown, round breasts, Faux gauge earrings, brown satin lipstick, Black Cutout Bodysuit with Zipper
Gold, charm bracelet, Luminary, Average Height, Firm, Oval Face, Dark Skin, Strawberry Blonde Hair, teal Eyes, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Low Chignon, firm breasts, Drop earrings, beige velvet lipstick, Yellow Mesh Bralette and High-Waisted Panty Set
Rhodium, ankle strap, Artist, Short, in shape, Heart-Shaped Face, Dark Skin, Brunette Hair, Green Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Side Bangs, soft breasts, , violet cream lipstick, Red Lace Bra and Panty Set with Garter Belt
Osmium, tassel necklace, Female Warrior, Short, Toned, Square Face, Fair Skin, Strawberry Blonde Hair, green Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Fine Hair, Loose Curls, asymmetrical breasts, Cuff earrings, cream cream lipstick, Mint Green Mesh Teddy 
Iridium, chain bracelet, Empress, Average Height, Thin, Heart-Shaped Face, Tan Skin, Auburn Hair, light blue Eyes, Wide Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Wavy Updo, natural breasts, , coral matte lipstick, Black Mesh Bodysuit with Embroidered Flowers
Cadmium, chain bracelet, Madam, Tall, Wide Hips, Heart-Shaped Face, Tan Skin, Silver Hair, Amber Eyes, Wide Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Low Updo, firm breasts, Threader earrings, rust metallic lipstick, Black Lace Bustier
Silver, friendship bracelet, Empress, Short, Fit, Heart-Shaped Face, Fair Skin, Blonde Hair, aquamarine Eyes, [[Curved Nose]], Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Braided Half Up, saggy breasts, Dangle earrings, fuchsia matte lipstick, Teal Velvet Chemise with Ruffles 
Tantalum, bib necklace, Seductress, Average Height, Wide Hips, Triangular Face, Fair Skin, Honey Blonde Hair, teal Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, High Chignon, perky breasts, Stud earrings, cream metallic lipstick, Orange Satin Slip
Silver, cocktail ring, Seductress, Short, in shape, Oval Face, Tan Skin, White Hair, Amber Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Thick Hair, Low Chignon, natural breasts, Cuff earrings, peach velvet lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Silver, chain bracelet, Goddess, Short, Wide Hips, Heart-Shaped Face, Dark Skin, Strawberry Blonde Hair, silver Eyes, Long Nose, Thin Lips, Sharp Chin, Long Hair, Thick Hair, Afro, round breasts, Stud earrings, lavender matte lipstick, Orange Satin Slip
Radium, charm bracelet, Baroness, Tall, Slim, Heart-Shaped Face, Olive Skin, White Hair, ruby Eyes, Wide Nose, Thick Lips, Prominent Chin, Long Hair, Coarse Hair, Half Up Half Down, round breasts, , teal cream lipstick, Green Satin Robe with Lace Trim
